"unitid","institution name","year","C2011_A.First or Second Major","C2011_A.CIP Code -  2010 Classification","CipTitle","C2011_A.Award Level code","C2011_A_RV.Grand total","IDX_C"
"117946","Loyola Marymount University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","1","-2"
"117946","Loyola Marymount University","2011","First major","'14'","Engineering","Bachelor's degree","40","-2"
"117946","Loyola Marymount University","2011","First major","'14'","Engineering","Master's degree","32","-2"
"117946","Loyola Marymount University","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","1","-2"
"117946","Loyola Marymount University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","8","-2"
"117946","Loyola Marymount University","2011","First major","'27'","Mathematics and Statistics","Master's degree","2","-2"
"117946","Loyola Marymount University","2011","First major","'40'","Physical Sciences","Bachelor's degree","7","-2"
"117946","Loyola Marymount University","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","1","-2"
"118198","MTI College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","28","-2"
"118347","College of Marin","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"118347","College of Marin","2011","First major","'40'","Physical Sciences","Associate's degree","2","-2"
"118684","Mendocino College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","4","-2"
"118684","Mendocino College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","8","-2"
"118684","Mendocino College","2011","First major","'40'","Physical Sciences","Associate's degree","3","-2"
"118718","Merced College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","3","-2"
"118718","Merced College","2011","First major","'14'","Engineering","Associate's degree","2","-2"
"118718","Merced College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","12","-2"
"118718","Merced College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","8","-2"
"118718","Merced College","2011","First major","'40'","Physical Sciences","Associate's degree","8","-2"
"118772","Merritt College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","2","-2"
"118888","Mills College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"118888","Mills College","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","2","-2"
"118888","Mills College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"118888","Mills College","2011","First major","'40'","Physical Sciences","Bachelor's degree","3","-2"
"118888","Mills College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","2","-2"
"118888","Mills College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","0","-2"
"118912","MiraCosta College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","5","-2"
"118912","MiraCosta College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","6","-2"
"118912","MiraCosta College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","6","-2"
"118912","MiraCosta College","2011","First major","'40'","Physical Sciences","Associate's degree","9","-2"
"118930","Mission College","2011","First major","'14'","Engineering","Associate's degree","6","-2"
"118930","Mission College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","3","-2"
"118930","Mission College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","2","-2"
"118930","Mission College","2011","First major","'40'","Physical Sciences","Associate's degree","20","-2"
"118976","Modesto Junior College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","9","-2"
"118976","Modesto Junior College","2011","First major","'14'","Engineering","Associate's degree","3","-2"
"118976","Modesto Junior College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","4","-2"
"118976","Modesto Junior College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","1","-2"
"118976","Modesto Junior College","2011","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"119067","Monterey Peninsula College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","12","-2"
"119067","Monterey Peninsula College","2011","First major","'14'","Engineering","Associate's degree","3","-2"
"119067","Monterey Peninsula College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","3","-2"
"119067","Monterey Peninsula College","2011","First major","'40'","Physical Sciences","Associate's degree","1","-2"
"119137","Moorpark College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","13","-2"
"119137","Moorpark College","2011","First major","'14'","Engineering","Associate's degree","3","-2"
"119137","Moorpark College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","3","-2"
"119137","Moorpark College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","3","-2"
"119137","Moorpark College","2011","First major","'40'","Physical Sciences","Associate's degree","5","-2"
"119164","Mt. San Antonio College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","32","-2"
"119164","Mt. San Antonio College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","6","-2"
"119164","Mt. San Antonio College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","9","-2"
"119173","Mount St. Mary's College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"119173","Mount St. Mary's College","2011","First major","'40'","Physical Sciences","Bachelor's degree","1","-2"
"119216","Mt. San Jacinto Community College District","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","29","-2"
"119216","Mt. San Jacinto Community College District","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","7","-2"
"119216","Mt. San Jacinto Community College District","2011","First major","'27'","Mathematics and Statistics","Associate's degree","28","-2"
"119331","Napa Valley College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","2","-2"
"119331","Napa Valley College","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Associate's degree","2","-2"
"119544","The National Hispanic University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"119544","The National Hispanic University","2011","First major","'27'","Mathematics and Statistics","Associate's degree","0","-2"
"119605","National University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","81","-2"
"119605","National University","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","74","-2"
"119605","National University","2011","First major","'14'","Engineering","Bachelor's degree","8","-2"
"119605","National University","2011","First major","'14'","Engineering","Master's degree","11","-2"
"119605","National University","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Bachelor's degree","5","-2"
"119605","National University","2011","First major","'15'","Engineering Technologies and Engineering-related Fields","Master's degree","54","-2"
"119605","National University","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","5","-2"
"119678","Naval Postgraduate School","2011","First major","'11'","Computer and Information Sciences and Support Services","Master's degree","81","-2"
"119678","Naval Postgraduate School","2011","First major","'11'","Computer and Information Sciences and Support Services","Doctor's degree - research/scholarship (new degree classification)","5","-2"
"119678","Naval Postgraduate School","2011","First major","'14'","Engineering","Master's degree","157","-2"
"119678","Naval Postgraduate School","2011","First major","'14'","Engineering","Doctor's degree - research/scholarship (new degree classification)","4","-2"
"119678","Naval Postgraduate School","2011","First major","'27'","Mathematics and Statistics","Master's degree","6","-2"
"119678","Naval Postgraduate School","2011","First major","'40'","Physical Sciences","Master's degree","15","-2"
"119678","Naval Postgraduate School","2011","First major","'40'","Physical Sciences","Doctor's degree - research/scholarship (new degree classification)","2","-2"
"120166","Northwestern Polytechnic University","2011","First major","'14'","Engineering","Bachelor's degree","16","-2"
"120166","Northwestern Polytechnic University","2011","First major","'14'","Engineering","Master's degree","232","-2"
"120166","Northwestern Polytechnic University","2011","First major","'14'","Engineering","Doctor's degree - professional practice (new degree classification)","3","-2"
"120184","Notre Dame de Namur University","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","3","-2"
"120254","Occidental College","2011","First major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"120254","Occidental College","2011","First major","'27'","Mathematics and Statistics","Bachelor's degree","12","-2"
"120254","Occidental College","2011","First major","'40'","Physical Sciences","Bachelor's degree","19","-2"
"120254","Occidental College","2011","Second major","'11'","Computer and Information Sciences and Support Services","Bachelor's degree","0","-2"
"120254","Occidental College","2011","Second major","'27'","Mathematics and Statistics","Bachelor's degree","2","-2"
"120254","Occidental College","2011","Second major","'40'","Physical Sciences","Bachelor's degree","2","-2"
"120290","Ohlone Community College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","7","-2"
"120290","Ohlone Community College","2011","First major","'27'","Mathematics and Statistics","Associate's degree","4","-2"
"120290","Ohlone Community College","2011","First major","'40'","Physical Sciences","Associate's degree","1","-2"
"120342","Orange Coast College","2011","First major","'11'","Computer and Information Sciences and Support Services","Associate's degree","28","-2"
"120342","Orange Coast College","2011","First major","'14'","Engineering","Associate's degree","25","-2"
