"unitid","institution name","year","C2009_A.CIP Code -  2000 Classification","CipTitle","C2009_A.First or Second Major","C2009_A.Award Level code","C2009_A_RV.Grand total","IDX_C"
"110644","University of California-Davis","2009","'14'","Engineering.","Second major","Bachelor's degree","43","-2"
"110644","University of California-Davis","2009","'27'","Mathematics and statistics.","First major","Bachelor's degree","70","-2"
"110644","University of California-Davis","2009","'27'","Mathematics and statistics.","First major","Master's degree","18","-2"
"110644","University of California-Davis","2009","'27'","Mathematics and statistics.","First major","Doctor's degree (old degree classification)","27","-2"
"110644","University of California-Davis","2009","'27'","Mathematics and statistics.","Second major","Bachelor's degree","19","-2"
"110644","University of California-Davis","2009","'40'","Physical sciences.","First major","Bachelor's degree","101","-2"
"110644","University of California-Davis","2009","'40'","Physical sciences.","First major","Master's degree","33","-2"
"110644","University of California-Davis","2009","'40'","Physical sciences.","First major","Post-master's certificate","4","-2"
"110644","University of California-Davis","2009","'40'","Physical sciences.","First major","Doctor's degree (old degree classification)","46","-2"
"110644","University of California-Davis","2009","'40'","Physical sciences.","Second major","Bachelor's degree","3","-2"
"110653","University of California-Irvine","2009","'11'","Computer and information sciences and support services.","First major","Bachelor's degree","159","-2"
"110653","University of California-Irvine","2009","'11'","Computer and information sciences and support services.","First major","Master's degree","74","-2"
"110653","University of California-Irvine","2009","'11'","Computer and information sciences and support services.","First major","Doctor's degree (old degree classification)","54","-2"
"110653","University of California-Irvine","2009","'14'","Engineering.","First major","Bachelor's degree","455","-2"
"110653","University of California-Irvine","2009","'14'","Engineering.","First major","Master's degree","155","-2"
"110653","University of California-Irvine","2009","'14'","Engineering.","First major","Doctor's degree (old degree classification)","72","-2"
"110653","University of California-Irvine","2009","'14'","Engineering.","Second major","Bachelor's degree","49","-2"
